,ID,Radius,Diameter,geometry,score_distance,score_landuse,score_tanksize,score_floods,Even_Weighting_Final,Distance_Priority_Final,Flood_Zones_Priority_Final,Tank_Size_Priority_Final,Land_Use_Priority_Final,even_rank,distance_rank,flood_rank,tank_rank,landuse_rank,Mean_Score,mean_rank
0,1,6.948366216,13.89673243,"POLYGON ((376466.1954703102 166716.1295551207, 376466.1620120277 166715.4484961342, 376466.0619594017 166714.77399611805, 376465.8962759937 166714.11255087613, 376465.6665574255 166713.4705304877, 376465.3750160125 166712.85411796006, 376465.0244594579 166712.26924968278, 376464.6182638129 166711.72155825715, 376464.16034096363 166711.21631825095, 376463.65510095743 166710.75839540167, 376463.1074095318 166710.3521997567, 376462.5225412545 166710.00164320203, 376461.9061287269 166709.71010178904, 376461.26410833845 166709.48038322086, 376460.6026630965 166709.31469981288, 376459.92816308036 166709.2146471869, 376459.2471040939 166709.1811889044, 376458.56604510744 166709.2146471869, 376457.8915450913 166709.31469981288, 376457.23009984934 166709.48038322086, 376456.5880794609 166709.71010178904, 376455.97166693327 166710.00164320203, 376455.386798656 166710.3521997567, 376454.83910723036 166710.75839540167, 376454.33386722417 166711.21631825095, 376453.8759443749 166711.72155825715, 376453.4697487299 166712.26924968278, 376453.1191921753 166712.85411796006, 376452.8276507623 166713.4705304877, 376452.59793219407 166714.11255087613, 376452.4322487861 166714.77399611805, 376452.3321961601 166715.4484961342, 376452.2987378776 166716.1295551207, 376452.3321961601 166716.81061410718, 376452.4322487861 166717.48511412332, 376452.59793219407 166718.14655936524, 376452.8276507623 166718.78857975366, 376453.1191921753 166719.4049922813, 376453.4697487299 166719.9898605586, 376453.8759443749 166720.53755198422, 376454.33386722417 166721.04279199042, 376454.83910723036 166721.5007148397, 376455.386798656 166721.9069104847, 376455.97166693327 166722.25746703934, 376456.5880794609 166722.54900845233, 376457.23009984934 166722.77872702052, 376457.8915450913 166722.9444104285, 376458.56604510744 166723.04446305448, 376459.2471040939 166723.07792133698, 376459.92816308036 166723.04446305448, 376460.6026630965 166722.9444104285, 376461.26410833845 166722.77872702052, 376461.9061287269 166722.54900845233, 376462.5225412545 166722.25746703934, 376463.1074095318 166721.9069104847, 376463.65510095743 166721.5007148397, 376464.16034096363 166721.04279199042, 376464.6182638129 166720.53755198422, 376465.0244594579 166719.9898605586, 376465.3750160125 166719.4049922813, 376465.6665574255 166718.78857975366, 376465.8962759937 166718.14655936524, 376466.0619594017 166717.48511412332, 376466.1620120277 166716.81061410718, 376466.1954703102 166716.1295551207))",0.666601826,0.5,0.181492013,1,0.58702346,0.610524715,0.727214076,0.449066372,0.560544167,103,52,97,121,122,0.586874558,104
1,3,7.922599958,15.84519992,"POLYGON ((376071.4204811726 166274.07391006075, 376071.38233168836 166273.2973594689, 376071.268250636 166272.5282874838, 376071.0793366783 166271.774100689, 376070.81740916014 166271.04206231568, 376070.4849905866 166270.33922229352, 376070.0852823302 166269.67234935611, 376069.62213380006 166269.04786585446, 376069.1000053697 166268.47178590603, 376068.52392542124 166267.94965747563, 376067.8994419196 166267.4865089455, 376067.2325689822 166267.08680068914, 376066.52972896 166266.75438211556, 376065.7976905867 166266.49245459735, 376065.0435037919 166266.30354063972, 376064.27443180676 166266.1894595873, 376063.49788121495 166266.15131010304, 376062.72133062314 166266.1894595873, 376061.952258638 166266.30354063972, 376061.1980718432 166266.49245459735, 376060.4660334699 166266.75438211556, 376059.7631934477 166267.08680068914, 376059.0963205103 166267.4865089455, 376058.47183700866 166267.94965747563, 376057.8957570602 166268.47178590603, 376057.37362862984 166269.04786585446, 376056.9104800997 166269.67234935611, 376056.5107718433 166270.33922229352, 376056.17835326976 166271.04206231568, 376055.9164257516 166271.774100689, 376055.7275117939 166272.5282874838, 376055.61343074153 166273.2973594689, 376055.5752812573 166274.07391006075, 376055.61343074153 166274.85046065258, 376055.7275117939 166275.6195326377, 376055.9164257516 166276.37371943248, 376056.17835326976 166277.1057578058, 376056.5107718433 166277.80859782797, 376056.9104800997 166278.47547076538, 376057.37362862984 166279.09995426703, 376057.8957570602 166279.67603421546, 376058.47183700866 166280.19816264586, 376059.0963205103 166280.661311176, 376059.7631934477 166281.06101943235, 376060.4660334699 166281.39343800594, 376061.1980718432 166281.65536552414, 376061.952258638 166281.84427948177, 376062.72133062314 166281.9583605342, 376063.49788121495 166281.99651001845, 376064.27443180676 166281.9583605342, 376065.0435037919 166281.84427948177, 376065.7976905867 166281.65536552414, 376066.52972896 166281.39343800594, 376067.2325689822 166281.06101943235, 376067.8994419196 166280.661311176, 376068.52392542124 166280.19816264586, 376069.1000053697 166279.67603421546, 376069.62213380006 166279.09995426703, 376070.0852823302 166278.47547076538, 376070.4849905866 166277.80859782797, 376070.81740916014 166277.1057578058, 376071.0793366783 166276.37371943248, 376071.268250636 166275.6195326377, 376071.38233168836 166274.85046065258, 376071.4204811726 166274.07391006075))",0.697286098,0.5,0.248457454,1,0.611435888,0.635911667,0.741861533,0.488685947,0.576725838,88,39,87,108,104,0.610924174,76
2,6,10.99245801,21.98491601,"POLYGON ((377425.33039805776 166860.64880377293, 377425.2774663679 166859.5713544741, 377425.1191810595 166858.50428160097, 377424.8570665066 166857.4578616487, 377424.49364701554 166856.44217221343, 377424.0324225148 166855.46699493963, 377423.4778348484 166854.5417213176, 377422.83522499877 166853.67526223807, 377422.11078164994 166852.87596217563, 377421.31148158753 166852.15151882687, 377420.445022508 166851.5089089772, 377419.51974888594 166850.9543213108, 377418.5445716122 166850.49309681007, 377417.5288821769 166850.12967731906, 377416.4824622246 166849.8675627661, 377415.41538935155 166849.7092774577, 377414.3379400527 166849.65634576787, 377413.2604907538 166849.7092774577, 377412.19341788074 166849.8675627661, 377411.14699792844 166850.12967731906, 377410.13130849315 166850.49309681007, 377409.1561312194 166850.9543213108, 377408.2308575974 166851.5089089772, 377407.3643985178 166852.15151882687, 377406.5650984554 166852.87596217563, 377405.8406551066 166853.67526223807, 377405.19804525696 166854.5417213176, 377404.64345759054 166855.46699493963, 377404.1822330898 166856.44217221343, 377403.8188135988 166857.4578616487, 377403.5566990459 166858.50428160097, 377403.3984137375 166859.5713544741, 377403.3454820476 166860.64880377293, 377403.3984137375 166861.72625307177, 377403.5566990459 166862.7933259449, 377403.8188135988 166863.83974589716, 377404.1822330898 166864.85543533243, 377404.64345759054 166865.83061260622, 377405.19804525696 166866.75588622826, 377405.8406551066 166867.62234530778, 377406.5650984554 166868.42164537022, 377407.3643985178 166869.146088719, 377408.2308575974 166869.78869856865, 377409.1561312194 166870.34328623506, 377410.13130849315 166870.8045107358, 377411.14699792844 166871.1679302268, 377412.19341788074 166871.43004477976, 377413.2604907538 166871.58833008815, 377414.3379400527 166871.641261778, 377415.41538935155 166871.58833008815, 377416.4824622246 166871.43004477976, 377417.5288821769 166871.1679302268, 377418.5445716122 166870.8045107358, 377419.51974888594 166870.34328623506, 377420.445022508 166869.78869856865, 377421.31148158753 166869.146088719, 377422.11078164994 166868.42164537022, 377422.83522499877 166867.62234530778, 377423.4778348484 166866.75588622826, 377424.0324225148 166865.83061260622, 377424.49364701554 166864.85543533243, 377424.8570665066 166863.83974589716, 377425.1191810595 166862.7933259449, 377425.2774663679 166861.72625307177, 377425.33039805776 166860.64880377293))",0,0.5,0.516852411,0.3,0.329213103,0.222527862,0.327527862,0.378426206,0.372527862,224,226,224,153,226,0.326044579,224
3,7,15,30,"POLYGON ((377338.74356746627 166876.7375797711, 377338.67133836634 166875.26732266616, 377338.45534667233 166873.81122494087, 377338.0976725023 166872.38330961228, 377337.60176045395 166870.99732828565, 377336.9723864315 166869.66662871873, 377336.2156116508 166868.40402627582, 377335.33872426674 166867.22168050866, 377334.3501691841 166866.13097805332, 377333.2594667287 166865.14242297068, 377332.07712096156 166864.26553558657, 377330.8145185187 166863.50876080588, 377329.48381895176 166862.87938678343, 377328.0978376251 166862.38347473514, 377326.66992229654 166862.02580056505, 377325.2138245712 166861.80980887104, 377323.74356746627 166861.7375797711, 377322.2733103613 166861.80980887104, 377320.817212636 166862.02580056505, 377319.38929730747 166862.38347473514, 377318.0033159808 166862.87938678343, 377316.67261641385 166863.50876080588, 377315.410013971 166864.26553558657, 377314.2276682038 166865.14242297068, 377313.13696574845 166866.13097805332, 377312.1484106658 166867.22168050866, 377311.27152328176 166868.40402627582, 377310.51474850107 166869.66662871873, 377309.8853744786 166870.99732828565, 377309.38946243026 166872.38330961228, 377309.0317882602 166873.81122494087, 377308.8157965662 166875.26732266616, 377308.74356746627 166876.7375797711, 377308.8157965662 166878.20783687607, 377309.0317882602 166879.66393460135, 377309.38946243026 166881.09184992994, 377309.8853744786 166882.47783125658, 377310.51474850107 166883.8085308235, 377311.27152328176 166885.0711332664, 377312.1484106658 166886.25347903356, 377313.13696574845 166887.3441814889, 377314.2276682038 166888.33273657155, 377315.410013971 166889.20962395566, 377316.67261641385 166889.96639873635, 377318.0033159808 166890.5957727588, 377319.38929730747 166891.0916848071, 377320.817212636 166891.44935897717, 377322.2733103613 166891.6653506712, 377323.74356746627 166891.7375797711, 377325.2138245712 166891.6653506712, 377326.66992229654 166891.44935897717, 377328.0978376251 166891.0916848071, 377329.48381895176 166890.5957727588, 377330.8145185187 166889.96639873635, 377332.07712096156 166889.20962395566, 377333.2594667287 166888.33273657155, 377334.3501691841 166887.3441814889, 377335.33872426674 166886.25347903356, 377336.2156116508 166885.0711332664, 377336.9723864315 166883.8085308235, 377337.60176045395 166882.47783125658, 377338.0976725023 166881.09184992994, 377338.45534667233 166879.66393460135, 377338.67133836634 166878.20783687607, 377338.74356746627 166876.7375797711))",0,0.5,0.998327493,0.3,0.449581873,0.294749124,0.399749124,0.619163746,0.444749124,188,213,205,83,207,0.441598598,190
4,12,15,30,"POLYGON ((375661.6749806511 167019.45360946486, 375661.6027515512 167017.9833523599, 375661.3867598572 167016.52725463462, 375661.0290856871 167015.09933930603, 375660.5331736388 167013.7133579794, 375659.9037996163 167012.38265841248, 375659.14702483563 167011.12005596957, 375658.2701374516 167009.93771020242, 375657.28158236895 167008.84700774707, 375656.19087991357 167007.85845266443, 375655.0085341464 167006.98156528032, 375653.74593170354 167006.22479049963, 375652.4152321366 167005.59541647718, 375651.0292508099 167005.0995044289, 375649.6013354814 167004.7418302588, 375648.1452377561 167004.5258385648, 375646.6749806511 167004.45360946486, 375645.20472354617 167004.5258385648, 375643.74862582085 167004.7418302588, 375642.3207104923 167005.0995044289, 375640.93472916563 167005.59541647718, 375639.6040295987 167006.22479049963, 375638.3414271558 167006.98156528032, 375637.1590813887 167007.85845266443, 375636.0683789333 167008.84700774707, 375635.07982385065 167009.93771020242, 375634.2029364666 167011.12005596957, 375633.4461616859 167012.38265841248, 375632.81678766344 167013.7133579794, 375632.3208756151 167015.09933930603, 375631.96320144506 167016.52725463462, 375631.74720975105 167017.9833523599, 375631.6749806511 167019.45360946486, 375631.74720975105 167020.92386656982, 375631.96320144506 167022.3799642951, 375632.3208756151 167023.8078796237, 375632.81678766344 167025.19386095033, 375633.4461616859 167026.52456051725, 375634.2029364666 167027.78716296016, 375635.07982385065 167028.9695087273, 375636.0683789333 167030.06021118266, 375637.1590813887 167031.0487662653, 375638.3414271558 167031.9256536494, 375639.6040295987 167032.6824284301, 375640.93472916563 167033.31180245255, 375642.3207104923 167033.80771450084, 375643.74862582085 167034.16538867092, 375645.20472354617 167034.38138036494, 375646.6749806511 167034.45360946486, 375648.1452377561 167034.38138036494, 375649.6013354814 167034.16538867092, 375651.0292508099 167033.80771450084, 375652.4152321366 167033.31180245255, 375653.74593170354 167032.6824284301, 375655.0085341464 167031.9256536494, 375656.19087991357 167031.0487662653, 375657.28158236895 167030.06021118266, 375658.2701374516 167028.9695087273, 375659.14702483563 167027.78716296016, 375659.9037996163 167026.52456051725, 375660.5331736388 167025.19386095033, 375661.0290856871 167023.8078796237, 375661.3867598572 167022.3799642951, 375661.6027515512 167020.92386656982, 375661.6749806511 167019.45360946486))",0.077739178,0.5,0.998327493,1,0.644016668,0.438618713,0.761410001,0.739711582,0.56529696,57,144,62,41,116,0.629810785,66
5,14,4.995917531,9.991835063,"POLYGON ((375926.6131347694 165794.07408839045, 375926.58907806093 165793.5844028407, 375926.51713961485 165793.0994332305, 375926.39801223774 165792.62385008228, 375926.23284319136 165792.16223352173, 375926.0232231438 165791.71902916871, 375925.7711708509 165791.29850532342, 375925.4791137139 165790.90471186032, 375925.14986440266 165790.54144122577, 375924.78659376816 165790.21219191456, 375924.39280030504 165789.92013477755, 375923.97227645974 165789.6680824846, 375923.5290721067 165789.45846243712, 375923.0674555462 165789.29329339068, 375922.591872398 165789.17416601357, 375922.10690278775 165789.10222756752, 375921.617217238 165789.07817085908, 375921.12753168825 165789.10222756752, 375920.642562078 165789.17416601357, 375920.16697892983 165789.29329339068, 375919.7053623693 165789.45846243712, 375919.26215801627 165789.6680824846, 375918.84163417097 165789.92013477755, 375918.44784070784 165790.21219191456, 375918.08457007335 165790.54144122577, 375917.7553207621 165790.90471186032, 375917.4632636251 165791.29850532342, 375917.2112113322 165791.71902916871, 375917.00159128464 165792.16223352173, 375916.83642223827 165792.62385008228, 375916.71729486116 165793.0994332305, 375916.6453564151 165793.5844028407, 375916.62129970663 165794.07408839045, 375916.6453564151 165794.5637739402, 375916.71729486116 165795.0487435504, 375916.83642223827 165795.52432669862, 375917.00159128464 165795.98594325918, 375917.2112113322 165796.4291476122, 375917.4632636251 165796.8496714575, 375917.7553207621 165797.24346492058, 375918.08457007335 165797.60673555513, 375918.44784070784 165797.93598486634, 375918.84163417097 165798.22804200335, 375919.26215801627 165798.4800942963, 375919.7053623693 165798.68971434378, 375920.16697892983 165798.85488339022, 375920.642562078 165798.97401076733, 375921.12753168825 165799.04594921338, 375921.617217238 165799.07000592182, 375922.10690278775 165799.04594921338, 375922.591872398 165798.97401076733, 375923.0674555462 165798.85488339022, 375923.5290721067 165798.68971434378, 375923.97227645974 165798.4800942963, 375924.39280030504 165798.22804200335, 375924.78659376816 165797.93598486634, 375925.14986440266 165797.60673555513, 375925.4791137139 165797.24346492058, 375925.7711708509 165796.8496714575, 375926.0232231438 165796.4291476122, 375926.23284319136 165795.98594325918, 375926.39801223774 165795.52432669862, 375926.51713961485 165795.0487435504, 375926.58907806093 165794.5637739402, 375926.6131347694 165794.07408839045))",0.260742924,0.5,0.073699617,0.5,0.333610635,0.316426404,0.400166381,0.238998393,0.388203527,222,203,202,221,222,0.335481068,222
6,15,4.548836644,9.097673287,"POLYGON ((375662.9078780997 166262.7441347174, 375662.88597420795 166262.29827075775, 375662.8204734791 166261.85670071177, 375662.71200672106 166261.4236771404, 375662.56161852786 166261.00337029732, 375662.37075722014 166260.5998279672, 375662.1412608966 166260.2169364833, 375661.8753397323 166259.8583832999, 375661.5755546933 166259.52762148014, 375661.24479287356 166259.2278364412, 375660.8862396902 166258.96191527686, 375660.5033482062 166258.7324189533, 375660.09980587615 166258.54155764557, 375659.6794990331 166258.39116945243, 375659.2464754617 166258.28270269433, 375658.8049054157 166258.21720196548, 375658.3590414561 166258.19529807373, 375657.91317749646 166258.21720196548, 375657.47160745045 166258.28270269433, 375657.03858387907 166258.39116945243, 375656.618277036 166258.54155764557, 375656.2147347059 166258.7324189533, 375655.83184322197 166258.96191527686, 375655.4732900386 166259.2278364412, 375655.14252821886 166259.52762148014, 375654.8427431799 166259.8583832999, 375654.5768220156 166260.2169364833, 375654.347325692 166260.5998279672, 375654.1564643843 166261.00337029732, 375654.0060761911 166261.4236771404, 375653.89760943304 166261.85670071177, 375653.8321087042 166262.29827075775, 375653.81020481244 166262.7441347174, 375653.8321087042 166263.18999867703, 375653.89760943304 166263.631568723, 375654.0060761911 166264.06459229437, 375654.1564643843 166264.48489913746, 375654.347325692 166264.88844146757, 375654.5768220156 166265.27133295147, 375654.8427431799 166265.62988613488, 375655.14252821886 166265.96064795463, 375655.4732900386 166266.2604329936, 375655.83184322197 166266.52635415792, 375656.2147347059 166266.75585048148, 375656.618277036 166266.9467117892, 375657.03858387907 166267.09709998235, 375657.47160745045 166267.20556674045, 375657.91317749646 166267.2710674693, 375658.3590414561 166267.29297136105, 375658.8049054157 166267.2710674693, 375659.2464754617 166267.20556674045, 375659.6794990331 166267.09709998235, 375660.09980587615 166266.9467117892, 375660.5033482062 166266.75585048148, 375660.8862396902 166266.52635415792, 375661.24479287356 166266.2604329936, 375661.5755546933 166265.96064795463, 375661.8753397323 166265.62988613488, 375662.1412608966 166265.27133295147, 375662.37075722014 166264.88844146757, 375662.56161852786 166264.48489913746, 375662.71200672106 166264.06459229437, 375662.8204734791 166263.631568723, 375662.88597420795 166263.18999867703, 375662.9078780997 166262.7441347174))",0.307550973,0.5,0.053975425,1,0.465381599,0.4118718,0.65422896,0.313497907,0.469606508,174,159,142,194,188,0.462917355,175
7,17,15,30,"POLYGON ((377309.9833257203 166678.6420357972, 377309.9110966204 166677.17177869225, 377309.69510492636 166675.71568096697, 377309.3374307563 166674.28776563838, 377308.841518708 166672.90178431175, 377308.2121446855 166671.57108474482, 377307.4553699048 166670.30848230192, 377306.57848252077 166669.12613653476, 377305.5899274381 166668.03543407941, 377304.49922498275 166667.04687899677, 377303.3168792156 166666.16999161267, 377302.0542767727 166665.41321683198, 377300.7235772058 166664.78384280953, 377299.3375958791 166664.28793076123, 377297.90968055057 166663.93025659115, 377296.45358282526 166663.71426489713, 377294.9833257203 166663.6420357972, 377293.51306861534 166663.71426489713, 377292.05697089003 166663.93025659115, 377290.6290555615 166664.28793076123, 377289.2430742348 166664.78384280953, 377287.9123746679 166665.41321683198, 377286.649772225 166666.16999161267, 377285.46742645785 166667.04687899677, 377284.3767240025 166668.03543407941, 377283.38816891983 166669.12613653476, 377282.5112815358 166670.30848230192, 377281.7545067551 166671.57108474482, 377281.1251327326 166672.90178431175, 377280.6292206843 166674.28776563838, 377280.27154651424 166675.71568096697, 377280.0555548202 166677.17177869225, 377279.9833257203 166678.6420357972, 377280.0555548202 166680.11229290217, 377280.27154651424 166681.56839062745, 377280.6292206843 166682.99630595604, 377281.1251327326 166684.38228728267, 377281.7545067551 166685.7129868496, 377282.5112815358 166686.9755892925, 377283.38816891983 166688.15793505966, 377284.3767240025 166689.248637515, 377285.46742645785 166690.23719259765, 377286.649772225 166691.11407998175, 377287.9123746679 166691.87085476244, 377289.2430742348 166692.5002287849, 377290.6290555615 166692.9961408332, 377292.05697089003 166693.35381500327, 377293.51306861534 166693.56980669728, 377294.9833257203 166693.6420357972, 377296.45358282526 166693.56980669728, 377297.90968055057 166693.35381500327, 377299.3375958791 166692.9961408332, 377300.7235772058 166692.5002287849, 377302.0542767727 166691.87085476244, 377303.3168792156 166691.11407998175, 377304.49922498275 166690.23719259765, 377305.5899274381 166689.248637515, 377306.57848252077 166688.15793505966, 377307.4553699048 166686.9755892925, 377308.2121446855 166685.7129868496, 377308.841518708 166684.38228728267, 377309.3374307563 166682.99630595604, 377309.69510492636 166681.56839062745, 377309.9110966204 166680.11229290217, 377309.9833257203 166678.6420357972))",0.002878816,0.5,0.998327493,0.5,0.500301577,0.326188532,0.500180946,0.64973951,0.475324887,156,200,164,71,185,0.49034709,161
8,24,15,30,"POLYGON ((376451.1914351655 166609.10469986007, 376451.1192060656 166607.6344427551, 376450.9032143716 166606.17834502982, 376450.54554020154 166604.75042970123, 376450.0496281532 166603.3644483746, 376449.42025413073 166602.03374880768, 376448.66347935004 166600.77114636477, 376447.786591966 166599.58880059762, 376446.79803688335 166598.49809814227, 376445.707334428 166597.50954305963, 376444.5249886608 166596.63265567552, 376443.26238621795 166595.87588089483, 376441.931686651 166595.24650687238, 376440.54570532433 166594.7505948241, 376439.1177899958 166594.392920654, 376437.6616922705 166594.17692896, 376436.1914351655 166594.10469986007, 376434.7211780606 166594.17692896, 376433.26508033526 166594.392920654, 376431.8371650067 166594.7505948241, 376430.45118368004 166595.24650687238, 376429.1204841131 166595.87588089483, 376427.85788167024 166596.63265567552, 376426.6755359031 166597.50954305963, 376425.5848334477 166598.49809814227, 376424.59627836506 166599.58880059762, 376423.719390981 166600.77114636477, 376422.9626162003 166602.03374880768, 376422.33324217785 166603.3644483746, 376421.8373301295 166604.75042970123, 376421.47965595947 166606.17834502982, 376421.26366426545 166607.6344427551, 376421.1914351655 166609.10469986007, 376421.26366426545 166610.57495696502, 376421.47965595947 166612.0310546903, 376421.8373301295 166613.4589700189, 376422.33324217785 166614.84495134553, 376422.9626162003 166616.17565091245, 376423.719390981 166617.43825335536, 376424.59627836506 166618.6205991225, 376425.5848334477 166619.71130157786, 376426.6755359031 166620.6998566605, 376427.85788167024 166621.5767440446, 376429.1204841131 166622.3335188253, 376430.45118368004 166622.96289284775, 376431.8371650067 166623.45880489604, 376433.26508033526 166623.81647906612, 376434.7211780606 166624.03247076014, 376436.1914351655 166624.10469986007, 376437.6616922705 166624.03247076014, 376439.1177899958 166623.81647906612, 376440.54570532433 166623.45880489604, 376441.931686651 166622.96289284775, 376443.26238621795 166622.3335188253, 376444.5249886608 166621.5767440446, 376445.707334428 166620.6998566605, 376446.79803688335 166619.71130157786, 376447.786591966 166618.6205991225, 376448.66347935004 166617.43825335536, 376449.42025413073 166616.17565091245, 376450.0496281532 166614.84495134553, 376450.54554020154 166613.4589700189, 376450.9032143716 166612.0310546903, 376451.1192060656 166610.57495696502, 376451.1914351655 166609.10469986007))",0.773816315,0.5,0.998327493,1,0.818035952,0.786657281,0.865821571,0.878927009,0.704512387,7,7,8,3,38,0.81079084,7
9,29,15,30,"POLYGON ((377288.9406048303 165849.10542161125, 377288.86837573035 165847.6351645063, 377288.65238403634 165846.179066781, 377288.2947098663 165844.75115145242, 377287.79879781796 165843.3651701258, 377287.1694237955 165842.03447055886, 377286.4126490148 165840.77186811596, 377285.53576163074 165839.5895223488, 377284.5472065481 165838.49881989346, 377283.4565040927 165837.51026481081, 377282.27415832557 165836.6333774267, 377281.0115558827 165835.87660264602, 377279.68085631577 165835.24722862357, 377278.2948749891 165834.75131657528, 377276.86695966055 165834.3936424052, 377275.41086193523 165834.17765071118, 377273.9406048303 165834.10542161125, 377272.4703477253 165834.17765071118, 377271.01425 165834.3936424052, 377269.5863346715 165834.75131657528, 377268.2003533448 165835.24722862357, 377266.86965377786 165835.87660264602, 377265.607051335 165836.6333774267, 377264.4247055678 165837.51026481081, 377263.33400311245 165838.49881989346, 377262.3454480298 165839.5895223488, 377261.46856064576 165840.77186811596, 377260.7117858651 165842.03447055886, 377260.0824118426 165843.3651701258, 377259.58649979427 165844.75115145242, 377259.2288256242 165846.179066781, 377259.0128339302 165847.6351645063, 377258.9406048303 165849.10542161125, 377259.0128339302 165850.5756787162, 377259.2288256242 165852.0317764415, 377259.58649979427 165853.45969177008, 377260.0824118426 165854.84567309672, 377260.7117858651 165856.17637266364, 377261.46856064576 165857.43897510655, 377262.3454480298 165858.6213208737, 377263.33400311245 165859.71202332905, 377264.4247055678 165860.7005784117, 377265.607051335 165861.5774657958, 377266.86965377786 165862.33424057649, 377268.2003533448 165862.96361459894, 377269.5863346715 165863.45952664723, 377271.01425 165863.8172008173, 377272.4703477253 165864.03319251133, 377273.9406048303 165864.10542161125, 377275.41086193523 165864.03319251133, 377276.86695966055 165863.8172008173, 377278.2948749891 165863.45952664723, 377279.68085631577 165862.96361459894, 377281.0115558827 165862.33424057649, 377282.27415832557 165861.5774657958, 377283.4565040927 165860.7005784117, 377284.5472065481 165859.71202332905, 377285.53576163074 165858.6213208737, 377286.4126490148 165857.43897510655, 377287.1694237955 165856.17637266364, 377287.79879781796 165854.84567309672, 377288.2947098663 165853.45969177008, 377288.65238403634 165852.0317764415, 377288.86837573035 165850.5756787162, 377288.9406048303 165849.10542161125))",0,0.5,0.998327493,1,0.624581873,0.399749124,0.749749124,0.724163746,0.549749124,75.5,166.5,76.5,53.5,138.5,0.609598598,83.5
